id	page	radical	strokes	desc	jis	level	unicode	sub	sub_kind	sub_rule	cross	ivs	cid	glyph	ids	ids_char	glyphwiki
p124-16	124	耳	7	聖				聖	包摂適用	1		8056 E0101	13869		聖		
p124-17	124	耳	7	言＋耳			8A80				1				⿰言耳	誀	u2ff0-u8a00-u8033
p124-18	124	耳	7	耳＋吾			43B8								⿰耳吾	䎸	u2ff0-u8033-u543e
p124-19	124	耳	8					聡	デザイン差	UCV236		8061 E0101	13473				
p124-20	124	耳	9	飮のへん＋耳				餌	包摂適用	155			1252	1	⿰𩙿耳		u2ff0-u2967f-u8033
p124-21	124	耳	9	耳＋怱	2-85-12	4									⿰耳怱	聦	u2ff0-u8033-u6031
p124-22	124	耳	9	耳＋亭			8064								⿰耳亭	聤	u2ff0-u8033-u4ead
p124-23	124	耳	10	耳＋鬼			806D								⿰耳鬼	聭	u2ff0-u8033-u9b3c
p124-24	124	耳	10	馬＋耳			99EC				1				⿰馬耳	駬	u2ff0-u99ac-u8033
p124-25	124	耳	11	敖／耳	2-85-13	4									⿱敖耳	聱	u2ff1-u6556-u8033
p124-26	124	耳	12	耳＋貴	2-85-14	4									⿰耳貴	聵	u2ff0-u8033-u8cb4
p124-27	124	耳	14	漸／耳	2-85-15	4									⿱漸耳	聻	u2ff1-u6f38-u8033
p124-28	124	聿	2	にんべん＋聿			4F93				1				⿰亻聿	侓	u2ff0-u4ebb-u807f
p124-29	124	聿	2	冫＋聿			51BF				1				⿰冫聿	冿	u2ff0-u51ab-u807f
p124-30	124	聿	3	廴＋聿								5EFA E0101	13436		⿰廴聿		u2ff0-u5ef4-u807f
p124-31	124	聿	3	くさかんむり／聿			831F				1				⿱艹聿	茟	u2ff1-u8279-u807f
p124-32	124	聿	4	王＋聿			73D2				1				⿰王聿	珒	u2ff0-u738b-u807f
p124-33	124	聿	4	戸の旧字＋聿			8081										
p124-34	124	聿	8	肇				肇	包摂適用	5		8087 E0101	13980		肇		
p124-35	124	聿	8	（戸の旧字＋戈）／聿			8088										
p124-36	124	臣	0	頤のへん	2-85-54	4									𦣞		
p124-37	124	臣	2	臣＋卜	2-3-52	4									⿰臣卜	卧	u2ff0-u81e3-u535c
p124-38	124	臣	2	臣＋又	2-85-55	4									⿰臣又	臤	u2ff0-u81e3-u53c8
p124-39	124	臣	3	女＋頤のへん				姫	包摂適用	91	1	59EC E0101	13998		⿰女𦣞	姬	u2ff0-u5973-u268de
p124-40	124	臣	3	煕−れんが			5DF8				1						
p124-41	124	臣	3	弓＋臣			5F2B				1				⿰弓臣	弫	u2ff0-u5f13-u81e3
p124-42	124	臣	3	弓＋頤のへん			5F2C				1				⿰弓𦣞		u2ff0-u5f13-u268de
p124-43	124	臣	3	てへん＋臣			630B				1				⿰扌臣	挋	u2ff0-u624c-u81e3
p124-44	124	臣	3	くさかんむり／臣			831E				1				⿱艹臣	茞	u2ff1-u8279-u81e3
p124-45	124	臣	4	賢	2-13-26	4					1				賢		
p124-46	124	臣	9	熙−れんが				頤	包摂適用	90	1	9824 E0101	7881				
p124-47	124	臣	9	臣＋頁	2-92-25	4					1				⿰臣頁	頣	u2ff0-u81e3-u9801
p125-0	125	臣	10	臣＋塩のつくり	2-85-56	4									⿰臣𬐚	𦣪	u2ff0-u81e3-u2c41a
p125-1	125	臣	11	（「臣」を180°回転させたもの＋臣）／（「介」の「人がしら」に代えて「大」）			81E9										
p125-2	125	自	1	自＋礼のつくり			81EB								⿰自乚	臫	u2ff0-u81ea-u4e5a
p125-3	125	自	3	さんずい＋自	1-86-66	3					1				⿰氵自	洎	u2ff0-u6c35-u81ea
p125-4	125	自	3	口＋自			54B1				1				⿰口自	咱	u2ff0-u53e3-u81ea
p125-5	125	自	4	嗅のつくり	1-90-56	3		臭	包摂適用	124					臭		
p125-6	125	自	4	自／木	2-85-57	4									⿱自木	臬	u2ff1-u81ea-u6728
p125-7	125	自	6	自／死			81F0								⿱自死	臰	u2ff1-u81ea-u6b7b
p125-8	125	自	7	自／辛			8FA0				1				⿱自辛	辠	u2ff1-u81ea-u8f9b
p125-9	125	自	9	邊−二点しんにょう			81F1										
p125-10	125	自	10	（自／木）＋危			81F2								⿰⿱自木危		u2ff0-u2ff1-u81ea-u6728-u5371
p125-11	125	自	12	自／（虫＋虫）	2-87-83	4					1				⿱自⿰虫虫		u2ff1-u81ea-u2ff0-u866b-u866b
p125-12	125	自	12	門＜嗅のつくり			28D91								⿵門臭	𨶑	u2ff5-u9580-u81ed
p125-13	125	至	2	にんべん＋至			4F84				1				⿰亻至	侄	u2ff0-u4ebb-u81f3
p125-14	125	至	2	厂＋至			5394				1				⿰厂至		u2ff0-u5382-u81f3
p125-15	125	至	3	到のへん＋おおざと	1-92-67	3					1				⿰至阝	郅	u2ff0-u81f3-u961d
p125-16	125	至	3	广＋至			5EA2				1				⿰广至		u2ff0-u5e7f-u81f3
p125-17	125	至	3	くさかんむり／至			834E				1				⿱艹至	荎	u2ff1-u8279-u81f3
p125-18	125	至	4	日＋至			664A				1				⿰日至	晊	u2ff0-u65e5-u81f3
p125-19	125	至	6	到のへん＋各			81F5								⿰至各	臵	u2ff0-u81f3-u5404
p125-20	125	至	6	到のへん＋存			81F6								⿰至存	臶	u2ff0-u81f3-u5b58
p125-21	125	至	6	到のへん＋至			81F8								⿰至至	臸	u2ff0-u81f3-u81f3
p125-22	125	至	6	到のへん＋成			81F9								⿰至成	臹	u2ff0-u81f3-u6210
p125-23	125	至	7	其	1-90-57	3									其		
p125-24	125	至	8	金＋至	2-90-75	4					1				⿰金至	銍	u2ff0-u91d1-u81f3
p125-25	125	至	9	到のへん＋頁	2-92-24	4					1				⿰至頁	𩒐	u2ff0-u81f3-u9801
p125-26	125	臼	0	臾−人	2-85-58	4											
p125-27	125	臼	2	諛のつくり				臾	統合適用	UCV168			7333	1	臾		
p125-28	125	臼	2	陷のつくり	2-85-59	4									臽		
p125-29	125	臼	3	插のつくり	2-85-60	4									臿		
p125-30	125	臼	3	臼／巾			5E20				1				⿱臼巾	帠	u2ff1-u81fc-u5dfe
p125-31	125	臼	4	稻のつくり			8200								舀		
p125-32	125	臼	6	學−子	2-85-61	4											
p125-33	125	臼	6	潟のつくり	2-85-62	4									舄		
p125-34	125	臼	6	焉			8203								焉		
p125-35	125	臼	15	齒＋臼			9F68				1				⿰齒臼	齨	u2ff0-u9f52-u81fc
p125-36	125	舌	2	舌＋（収−又）			820F										
p125-37	125	舌	5	舌＋低のつくり	1-90-58	3									⿰舌氐	䑛	u2ff0-u820c-u6c10
p125-38	125	舌	5	甘＋舌			751B				1				⿰甘舌	甛	u2ff0-u7518-u820c
p125-39	125	舌	7	蜒	2-85-63	4									蜒		
p125-40	125	舌	8	舌＋易			8213								⿰舌易	舓	u2ff0-u820c-u6613
p125-41	125	舌	8	舌＋忝			8214								⿰舌忝	舔	u2ff0-u820c-u5fdd
p125-42	125	舌	9	飮のへん＋舌			9902				1				⿰𩙿舌		u2ff0-u2967f-u820c
p126-0	126	舌	10	髟／舌			9AFA				1				⿱髟舌	髺	u2ff1-u9adf-u820c
p126-1	126	舌	11	舌＋鳥			9D30				1				⿰舌鳥	鴰	u2ff0-u820c-u9ce5
p126-2	126	舌	12	舌／（舌＋舌）	2-85-64	4									⿱舌⿰舌舌		u2ff1-u820c-u2ff0-u820c-u820c
p126-3	126	舌	13	舌＋譫のつくり			821A								⿰舌詹	舚	u2ff0-u820c-u8a79
p126-4	126	舛	0	隣のつくり−米				舛	包摂適用	120		821B E0101	20199				
p126-5	126	舛	3	くさかんむり／舛			8348				1				⿱艹舛	荈	u2ff1-u8279-u821b
p126-6	126	舛	4	木へん＋舛				桝	包摂適用	120		685D E0102	14046		⿰木舛	桝	u2ff0-u6728-u821b
p126-7	126	舛	4	隣のつくり	1-85-23	3					1				粦		
p126-8	126	舛	7	韋			821D								韋		
p126-9	126	舟	2	舟＋刀			8220								⿰舟刀	舠	u2ff0-u821f-u5200
p126-10	126	舟	3	舟＋工	2-85-65	4									⿰舟工	舡	u2ff0-u821f-u5de5
p126-11	126	舟	3	舟＋山	2-85-66	4									⿰舟山	舢	u2ff0-u821f-u5c71
p126-12	126	舟	4					舮	包摂適用	5		822E E0101	7855				
p126-13	126	舟	4	舟＋元	2-85-67	4									⿰舟元	𦨞	u2ff0-u821f-u5143
p126-14	126	舟	4	舟＋反			8228								⿰舟反	舨	u2ff0-u821f-u53cd
p126-15	126	舟	4	舟＋少			26A16								⿰舟少	𦨖	u2ff0-u821f-u5c11
p126-16	126	舟	5					船	包摂適用	189		8239 E0102	13886				
p126-17	126	舟	5					船	デザイン差	UCV236		8239 E0101	13471				
p126-18	126	舟	5	舟＋令	2-85-68	4									⿰舟令	舲	u2ff0-u821f-u4ee4
p126-19	126	舟	5	舟＋乍	2-85-69	4									⿰舟乍	舴	u2ff0-u821f-u4e4d
p126-20	126	舟	5	舟＋甲			823A								⿰舟甲	舺	u2ff0-u821f-u7532
p126-21	126	舟	6	舟＋共	2-85-70	4									⿰舟共	舼	u2ff0-u821f-u5171
p126-22	126	舟	6	舟＋良	2-85-71	4									⿰舟良	艆	u2ff0-u821f-u826f
p126-23	126	舟	7					艇	デザイン差	UCV235		8247 E0101	13483				
p126-24	126	舟	7					艀	包摂適用	21		8240 E0101	20200				
p126-25	126	舟	7	舟＋尾	2-85-72	4									⿰舟尾	艉	u2ff0-u821f-u5c3e
p126-26	126	舟	7	舟＋余	2-85-73	4									⿰舟余	艅	u2ff0-u821f-u4f59
p126-27	126	舟	7	舟＋里			8243								⿰舟里	艃	u2ff0-u821f-u91cc
p126-28	126	舟	7	舟＋悄のつくり			8244								⿰舟肖	艄	u2ff0-u821f-u8096
p126-29	126	舟	7	舟＋夾			26A40								⿰舟夾	𦩀	u2ff0-u821f-u593e
p126-30	126	舟	8	舟＋定	2-85-74	4									⿰舟定	𦩘	u2ff0-u821f-u5b9a
p126-31	126	舟	8	舟＋孟	2-85-75	4									⿰舟孟	艋	u2ff0-u821f-u5b5f
p126-32	126	舟	8	舟＋睛のつくり	2-85-76	4									⿰舟青	䑶	u2ff0-u821f-u9752
p126-33	126	舟	9	舟＋首	2-85-77	4									⿰舟首	艏	u2ff0-u821f-u9996
p126-34	126	舟	9	舟＋風	2-85-78	4									⿰舟風	䑺	u2ff0-u821f-u98a8
p126-35	126	舟	9	舟＋皇			824E								⿰舟皇	艎	u2ff0-u821f-u7687
p126-36	126	舟	9	舟＋編のつくり			8251								⿰舟扁	艑	u2ff0-u821f-u6241
p126-37	126	舟	10	舟＋溲のつくり				艘	包摂適用	92			6310	1	⿰舟叟	艘	u2ff0-u821f-u53df
p126-38	126	舟	10	舟＋縊のつくり	2-85-79	4									⿰舟益	艗	u2ff0-u821f-u76ca
p126-39	126	舟	10	舟＋差			8256								⿰舟差	艖	u2ff0-u821f-u5dee
p126-40	126	舟	11	舟＋寄	2-85-80	4									⿰舟寄	𦪌	u2ff0-u821f-u5bc4
p126-41	126	舟	11	舟＋帶	2-85-81	4									⿰舟帶	艜	u2ff0-u821f-u5e36
p126-42	126	舟	12	舟＋登	1-90-59	3									⿰舟登	艠	u2ff0-u821f-u767b
p126-43	126	舟	13	舟＋虜	2-85-82	4									⿰舟虜	艣	u2ff0-u821f-u865c
p126-44	126	舟	14	舟＋護のつくり			8267								⿰舟蒦	艧	u2ff0-u821f-u84a6
p126-45	126	舟	15	舟＋（壥−土へん−厂）	2-85-83	4											
p126-46	126	舟	18	舟＋雙			826D								⿰舟雙	艭	u2ff0-u821f-u96d9
p126-47	126	艮	1	一／艮									2248	1	⿱一艮		u2ff1-u4e00-u826e
p127-0	127	艮	3	くさかんむり／艮	2-86-12	4					1				⿱艹艮	茛	u2ff1-u8279-u826e
p127-1	127	艮	4	二点しんにょうの退							1	9000 E0101	13905				
p127-2	127	艮	6	竹かんむり／艮／皿	2-83-69	4					1						
p127-3	127	艮	7	豬のへん＋艮			8C64				1				⿰豕艮	豤	u2ff0-u8c55-u826e
p127-4	127	艮	7	豸＋艮			8C87				1				⿰豸艮	貇	u2ff0-u8c78-u826e
p127-5	127	艮	12	歯＋艮							1	6B6F E0100	2243		⿰歯艮	𮯅	u2ff0-u6b6f-u826e
p127-6	127	色	5	弗＋色	1-90-60	3									⿰弗色	艴	u2ff0-u5f17-u8272
p127-7	127	色	7	赤＋色			8D69				1				⿰赤色	赩	u2ff0-u8d64-u8272
p127-8	127	色	8	靜のへん＋色			9758				1				⿰青色	靘	u2ff0-u9752-u8272
p127-9	127	艹	0	離れたくさかんむり	2-85-84	4											
p127-10	127	艹	0	十＋十	2-85-85	4									⿰十十	艹	u2ff0-u5341-u5341
p127-11	127	艹	0	草−早	2-85-86	4											
p127-12	127	艹	0	朔のへん−屮	2-85-87	4											
p127-13	127	艹	2	くさかんむり／又	1-90-61	3									⿱艹又	𦫿	u2ff1-u8279-u53c8
p127-14	127	艹	2	くさかんむり／九	2-85-88	4									⿱艹九	艽	u2ff1-u8279-u4e5d
p127-15	127	艹	2	くさかんむり／乃	2-85-89	4									⿱艹乃	艿	u2ff1-u8279-u4e43
p127-16	127	艹	2	くさかんむり／力			827B								⿱艹力	艻	u2ff1-u8279-u529b
p127-17	127	艹	2	くさかんむり／刀			8280								⿱艹刀	芀	u2ff1-u8279-u5200
p127-18	127	艹	2	くさかんむり／几			8281								⿱艹几	芁	u2ff1-u8279-u51e0
p127-19	127	艹	3	芍				芍	包摂適用	32		828D E0101	7856		芍		
p127-20	127	艹	3	くさかんむり／氓のへん				芒	包摂適用	51			6325	1	⿱艹亡	芒	u2ff1-u8279-u4ea1
p127-21	127	艹	3	くさかんむり／弓	1-90-62	3									⿱艹弓	芎	u2ff1-u8279-u5f13
p127-22	127	艹	3	くさかんむり／凡	2-85-90	4									⿱艹凡	芃	u2ff1-u8279-u51e1
p127-23	127	艹	3	くさかんむり／千	2-85-91	4									⿱艹千	芊	u2ff1-u8279-u5343
p127-24	127	艹	3	くさかんむり／子	2-85-92	4									⿱艹子	芓	u2ff1-u8279-u5b50
p127-25	127	艹	3	くさかんむり／丸			8284								⿱艹丸	芄	u2ff1-u8279-u4e38
p127-26	127	艹	3	くさかんむり／巾			8287								⿱艹巾	芇	u2ff1-u8279-u5dfe
p127-27	127	艹	3	くさかんむり／干			8289								⿱艹干	芉	u2ff1-u8279-u5e72
p127-28	127	艹	3	くさかんむり／己			8291								⿱艹己	芑	u2ff1-u8279-u5df1
p127-29	127	艹	3	屮／艸			8294								⿱屮艸	芔	u2ff1-u5c6e-u8278
p127-30	127	艹	3	くさかんむり／大			8296								⿱艹大	芖	u2ff1-u8279-u5927
p127-31	127	艹	4					芦	包摂適用	5			1142	1			
p127-32	127	艹	4	くさかんむり／椛のつくり				花	包摂適用	77		82B1 E0101	13666		⿱艹花		u2ff1-u8279-u82b1
p127-33	127	艹	4	くさかんむり／呀のつくり				芽	包摂適用	121		82BD E0100	13670		⿱艹牙	芽	u2ff1-u8279-u7259
p127-34	127	艹	4	くさかんむり／欠	1-90-63	3									⿱艹欠	芡	u2ff1-u8279-u6b20
p127-35	127	艹	4	くさかんむり／不	1-90-64	3									⿱艹不	芣	u2ff1-u8279-u4e0d
p127-36	127	艹	4	くさかんむり／孔	1-90-65	3									⿱艹孔	芤	u2ff1-u8279-u5b54
p127-37	127	艹	4	くさかんむり／今	1-90-66	3									⿱艹今	芩	u2ff1-u8279-u4eca
p127-38	127	艹	4	くさかんむり／吶のつくり	1-90-67	3									⿱艹內		u2ff1-u8279-u5167
p127-39	127	艹	4	くさかんむり／止	1-90-68	3									⿱艹止	芷	u2ff1-u8279-u6b62
p127-40	127	艹	4	くさかんむり／市	1-90-69	3									⿱艹市		u2ff1-u8279-u5e02
p127-41	127	艹	4	くさかんむり／仍	1-90-70	3									⿱艹仍	芿	u2ff1-u8279-u4ecd
p127-42	127	艹	4	くさかんむり／切	1-90-71	3									⿱艹切	苆	u2ff1-u8279-u5207
p127-43	127	艹	4	くさかんむり／予	2-85-93	4									⿱艹予	芧	u2ff1-u8279-u4e88
p127-44	127	艹	4	くさかんむり／（岌−山）	2-85-94	4											
p127-45	127	艹	4	くさかんむり／人がしら／化のつくり	2-86-1	4									⿱⿱艹𠆢𠤎		u2ff1-u2ff1-u8279-u201a2-u2090e
p127-46	127	艹	4	くさかんむり／勿	2-86-2	4									⿱艹勿	芴	u2ff1-u8279-u52ff
p127-47	127	艹	4	くさかんむり／夭	2-86-3	4									⿱艹夭	芺	u2ff1-u8279-u592d
p127-48	127	艹	4	くさかんむり／毛	2-86-4	4									⿱艹毛	芼	u2ff1-u8279-u6bdb
p128-0	128	艹	4	くさかんむり／比			8298								⿱艹比	芘	u2ff1-u8279-u6bd4
p128-1	128	艹	4	くさかんむり／屯			829A								⿱艹屯	芚	u2ff1-u8279-u5c6f
p128-2	128	艹	4	くさかんむり／尹			829B								⿱艹尹	芛	u2ff1-u8279-u5c39
p128-3	128	艹	4	くさかんむり／（吝−口）			82A0										
p128-4	128	艹	4	くさかんむり／氏			82AA								⿱艹氏	芪	u2ff1-u8279-u6c0f
p128-5	128	艹	4	くさかんむり／支			82B0								⿱艹支	芰	u2ff1-u8279-u652f
p128-6	128	艹	5					苒	包摂適用	47		82D2 E0101	7857				
p128-7	128	艹	5	くさかんむり／召	1-90-72	3									⿱艹召	苕	u2ff1-u8279-u53ec
p128-8	128	艹	5	くさかんむり／瓜	1-90-73	3									⿱艹瓜	苽	u2ff1-u8279-u74dc
p128-9	128	艹	5	くさかんむり／必	1-90-74	3									⿱艹必	苾	u2ff1-u8279-u5fc5
p128-10	128	艹	5	くさかんむり／弗	1-90-75	3									⿱艹弗	茀	u2ff1-u8279-u5f17
p128-11	128	艹	5	くさかんむり／出	1-90-76	3									⿱艹出	茁	u2ff1-u8279-u51fa
p128-12	128	艹	5	くさかんむり／（官−宀）	2-86-5	4											
p128-13	128	艹	5	くさかんむり／尼	2-86-6	4									⿱艹尼	苨	u2ff1-u8279-u5c3c
p128-14	128	艹	5	くさかんむり／甘	2-86-7	4									⿱艹甘	苷	u2ff1-u8279-u7518
p128-15	128	艹	5	くさかんむり／拔のつくり	2-86-8	4									⿱艹犮	茇	u2ff1-u8279-u72ae
p128-16	128	艹	5	くさかんむり／此	2-86-9	4									⿱艹此	茈	u2ff1-u8279-u6b64
p128-17	128	艹	5	くさかんむり／仕	2-86-10	4									⿱艹仕	茌	u2ff1-u8279-u4ed5
p128-18	128	艹	5	第			82D0								第		
p128-19	128	艹	5	くさかんむり／用			82DA								⿱艹用	苚	u2ff1-u8279-u7528
p128-20	128	艹	5	くさかんむり／民			82E0								⿱艹民	苠	u2ff1-u8279-u6c11
p128-21	128	艹	5	くさかんむり／丕			82E4								⿱艹丕	苤	u2ff1-u8279-u4e15
p128-22	128	艹	5	くさかんむり／炳のつくり			82EA								⿱艹丙	苪	u2ff1-u8279-u4e19
p128-23	128	艹	5	くさかんむり／幼			82ED								⿱艹幼	苭	u2ff1-u8279-u5e7c
p128-24	128	艹	5	くさかんむり／本			82EF								⿱艹本	苯	u2ff1-u8279-u672c
p128-25	128	艹	5	くさかんむり／人がしら／小			82F6								⿱⿱艹𠆢小		u2ff1-u2ff1-u8279-u201a2-u5c0f
p128-26	128	艹	5	くさかんむり／丘			830A								⿱艹丘	茊	u2ff1-u8279-u4e18
p128-27	128	艹	5	くさかんむり／低のつくり			830B								⿱艹氐	茋	u2ff1-u8279-u6c10
p128-28	128	艹	5	くさかんむり／（夷−十）													
p128-29	128	艹	6	（くさかんむり／研のつくり）＋りっとう				荊	包摂適用	181		8346 E0100	7672				
p128-30	128	艹	6	くさかんむり／（咨−口）				茨	包摂適用	33			1205	1			
p128-31	128	艹	6	荒				荒	包摂適用	51		8352 E0101	13772		荒		
p128-32	128	艹	6	荒				荒	統合適用	UCV350			3153	1	荒		
p128-33	128	艹	6	くさかんむり／宇	1-90-77	3									⿱艹宇	荢	u2ff1-u8279-u5b87
p128-34	128	艹	6	くさかんむり／列	1-90-78	3									⿱艹列	茢	u2ff1-u8279-u5217
