id	page	radical	strokes	desc	jis	level	unicode	sub	sub_kind	sub_rule	cross	ivs	cid	glyph	ids	ids_char	glyphwiki
p10-0	10	一	1	尓−小	2-1-1	4											
p10-1	10	一	1	朽のつくり	2-1-2	4									丂		
p10-2	10	一	1	ぼう／一			4E04										
p10-3	10	一	1	一／ぼう			4E05										
p10-4	10	一	2					凡	包摂適用	37	1	51E1 E0101	14041				
p10-5	10	一	2	勹＜一				勺	包摂適用	32	1	52FA E0100	13807		⿵勹一		u2ff5-u52f9-u4e00
p10-6	10	一	2	一／力				万	デザイン差				1484	1	⿱一力		u2ff1-u4e00-u529b
p10-7	10	一	2	鼾のへん−自−田			4E0C										
p10-8	10	一	3	鼾のへん−自−田			4E93										
p10-9	10	一	3	丈＋一の右上に丶	1-14-2	3											
p10-10	10	一	3	眄のつくり	2-1-3	4									丏		
p10-11	10	一	3	刃／一	2-1-4	4									⿱刃一	丒	u2ff1-u5203-u4e00
p10-12	10	一	4	卅			534C				1				卅		
p10-13	10	一	4	三／二								4E8C E0100	3275		⿱三二		u2ff1-u4e09-u4e8c
p10-14	10	一	5	七／（七＋七）	1-14-3	3									⿱七⿰七七	㐂	u2ff1-u4e03-u2ff0-u4e03-u4e03
p10-15	10	一	5	匕／（匕＋匕）				※［＃「七／（七＋七）」、第3水準1-14-3］	包摂適用			3402 E0101	13697		⿱匕⿰匕匕		u2ff1-u5315-u2ff0-u5315-u5315
p10-16	10	一	5	王／厶			4E1F								⿱王厶	丟	u2ff1-u738b-u53b6
p10-17	10	一	6	柳の本字			4E23										
p10-18	10	一	6	丙			4E24								丙		
p10-19	10	丨	0	十−一	1-14-4	3											
p10-20	10	丨	1	収−又	2-1-5	4											
p10-21	10	丨	2	Ｙ	2-1-6	4									Ｙ		
p10-22	10	丨	3	挈−刀−手	1-14-5	3											
p10-23	10	丨	3	蚌のつくり	1-14-6	3									丰		
p10-24	10	丨	3	虱	2-1-7	4									虱		
p10-25	10	丨	9	叢−取			4E35										
p10-26	10	丶	4	麈−鹿				主	包摂適用			4E3B E0101	13812				
p10-27	10	丿	0	乂−丿	2-1-8	4											
p10-28	10	丿	0	迅−しんにょう−十			4E41										
p10-29	10	丿	1	〆の続いてる部分をとったもの				〆	包摂適用			4E44 E0100	14304				
p11-0	11	丿	2	托のつくり	2-1-9	4									乇		
p11-1	11	丿	2	公の右上の欠けたもの	2-1-10	4											
p11-2	11	丿	5	派のつくり	2-1-11	4									𠂢		
p11-3	11	丿	5	衆−血	2-1-12	4											
p11-4	11	丿	5	殷のへん	2-1-13	4									㐆		
p11-5	11	丿	5	師のへん	2-1-14	4									𠂤		
p11-6	11	丿	5	昔			20017								昔		
p11-7	11	乚	0	礼のつくり	2-1-15	4									乚		
p11-8	11	乚	1	也−ぼう			4E5C										
p11-9	11	乚	2	力＋礼のつくり			529C				1				⿰力乚	劜	u2ff0-u529b-u4e5a
p11-10	11	乚	3	幺＋礼のつくり			4E63								⿰幺乚	乣	u2ff0-u5e7a-u4e5a
p11-11	11	乚	3	土へん＋礼のつくり			5720				1				⿰土乚	圠	u2ff0-u571f-u4e5a
p11-12	11	乚	4	戸の旧字＋乙			6239				1						
p11-13	11	乚	5	示＋礼のつくり							1	793C E0101	8579		⿰示乚	礼	u2ff0-u793a-u4e5a
p11-14	11	乚	5	占＋礼のつくり	2-1-16	4									⿰占乚	乩	u2ff0-u5360-u4e5a
p11-15	11	乚	5	台＋礼のつくり			4E68								⿰台乚	乨	u2ff0-u53f0-u4e5a
p11-16	11	乚	6	耳＋礼のつくり			8034				1				⿰耳乚	耴	u2ff0-u8033-u4e5a
p11-17	11	乚	6	自＋礼のつくり			81EB				1				⿰自乚	臫	u2ff0-u81ea-u4e5a
p11-18	11	乚	7	郛のへん＋礼のつくり				乳	包摂適用			4E73 E0101	13968		⿰孚乚	乳	u2ff0-u5b5a-u4e5a
p11-19	11	乚	7	折／乙			4E74								⿱折乙	乴	u2ff1-u6298-u4e59
p11-20	11	乚	7	辛＋礼のつくり			4E75								⿰辛乚	乵	u2ff0-u8f9b-u4e5a
p11-21	11	乚	8	朝のへん＋礼のつくり			4E79								⿰𠦝乚	乹	u2ff0-u2099d-u4e5a
p11-22	11	乚	8	金＋礼のつくり			91D3				1				⿰金乚	釓	u2ff0-u91d1-u4e5a
p11-23	11	乚	8	金＋乙			91D4				1				⿰金乙	釔	u2ff0-u91d1-u4e59
p11-24	11	乚	10	孚＋礼のつくり			4E7F								⿰孚乚	乳	u2ff0-u5b5a-u4e5a
p11-25	11	乚	11	鳥＋乙	2-94-1	4					1				⿰鳥乙	鳦	u2ff0-u9ce5-u4e59
p11-26	11	乚	15	齒＋礼のつくり	2-94-75	4					1				⿰齒乚	齓	u2ff0-u9f52-u4e5a
p11-27	11	二	1	行のつくり	1-14-7	3									亍		
p11-28	11	二	2	研のつくり	1-84-17	3									开		
p11-29	11	二	2	二／二			4E96								⿱二二	亖	u2ff1-u4e8c-u4e8c
p11-30	11	二	2	鼾のへん−自−田			4E93				1						
p11-31	11	二	3	山／二			4E97								⿱山二	亗	u2ff1-u5c71-u4e8c
p11-32	11	二	3	大／二			5933				1				⿱大二	夳	u2ff1-u5927-u4e8c
p11-33	11	二	4	二／心			5FC8				1				⿱二心	忈	u2ff1-u4e8c-u5fc3
p11-34	11	二	6	參	2-1-17	4									參		
p11-35	11	二	6	二／（勹＜方）			3AC4				1				⿱二⿵勹方		u2ff1-u4e8c-u2ff5-u52f9-u65b9
p12-0	12	亠	1	氓のへん				亡	包摂適用			4EA1 E0101	14031		亡		
p12-1	12	亠	4	皎のつくり				交	デザイン差	UCV235		4EA4 E0101	13439		交		
p12-2	12	亠	3	麈−鹿							1	4E3B E0101	13812				
p12-3	12	亠	5	流のつくり	2-1-18	4									㐬		
p12-4	12	亠	7	亠／兌	1-14-50	3					1				⿱亠兌	兗	u2ff1-u4ea0-u514c
p12-5	12	亠	7	京			4EAF								京		
p12-6	12	亠	8	田＋十＋畝のつくり			755E				1				⿰⿰田十久		u2ff0-u2ff0-u7530-u5341-u4e45
p12-7	12	亠	8	亠／（田＋畝のつくり）							1	755D E0101	20174		⿱亠⿰田久		u2ff1-u4ea0-u2ff0-u7530-u4e45
p12-8	12	亠	8	亠／口／田			7557				1				⿱⿱亠口田		u2ff1-u2ff1-u4ea0-u53e3-u7530
p12-9	12	亠	9					商	デザイン差	UCV62	1	5546 E0101	13830				
p12-10	12	亠	9	滴のつくり	2-4-4	4					1				啇		
p12-11	12	亠	9	璃のつくり	2-82-78	4					1				离		
p12-12	12	亠	10	亠／舛／木			6909				1				⿱⿱亠舛木		u2ff1-u2ff1-u4ea0-u821b-u6728
p12-13	12	亠	11	譲のつくり	2-1-19	4									㐮		
p12-14	12	亠	14	羸	2-5-84	4					1				羸		
p12-15	12	亠	17	羸	2-87-91	4					1				羸		
p12-16	12	亠	18	鶉のへん＋單	2-4-50	4					1				⿰享單	嚲	u2ff0-u4eab-u55ae
p12-17	12	亠	19	羸			81DD				1				羸		
p12-18	12	亠	20	亠／興	2-1-20	4									⿱亠興		u2ff1-u4ea0-u8208
p12-19	12	亠	20	雍／（餮−殄）			9954				1						
p12-20	12	亠	21	羸	2-93-5	4					1				羸		
p12-21	12	亠	22	羸			9E01				1				羸		
p12-22	12	人	0	にんべん	2-1-21	4									亻		
p12-23	12	人	0	人がしら	2-1-22	4									𠆢		
p12-24	12	人	1	人がしら／一	2-1-23	4									⿱𠆢一		u2ff1-u201a2-u4e00
p12-25	12	人	2	訛−言				化	包摂適用	77	1	5316 E0101	13665				
p12-26	12	人	2	にんべん＋丁	2-1-24	4									⿰亻丁	仃	u2ff0-u4ebb-u4e01
p12-27	12	人	2	にんべん＋八	2-1-25	4									⿰亻八	仈	u2ff0-u4ebb-u516b
p12-28	12	人	2	人がしら／十	2-1-26	4									⿱𠆢十		u2ff1-u201a2-u5341
p12-29	12	人	3	にんべん＋乞	1-14-8	3									⿰亻乞	仡	u2ff0-u4ebb-u4e5e
p12-30	12	人	3	人がしら／小	1-47-59	3					1				⿱𠆢小		u2ff1-u201a2-u5c0f
p12-31	12	人	3	にんべん＋公の右上の欠けたもの	2-1-27	4											
p12-32	12	人	3	人がしら／山	2-1-28	4									⿱𠆢山		u2ff1-u201a2-u5c71
p12-33	12	人	3	にんべん＋托のつくり			4EDB								⿰亻乇	仛	u2ff0-u4ebb-u4e47
p12-34	12	人	3	にんべん＋干			4EE0								⿰亻干	仠	u2ff0-u4ebb-u5e72
p12-35	12	人	3	にんべん＋勺			4EE2								⿰亻勺	仢	u2ff0-u4ebb-u52fa
p12-36	12	人	3	にんべん＋三			4EE8								⿰亻三	仨	u2ff0-u4ebb-u4e09
p12-37	12	人	3	珍のつくり			3431								㐱		
p12-38	12	人	4	にんべん＋扮のつくり	1-14-9	3									⿰亻分	份	u2ff0-u4ebb-u5206
p12-39	12	人	4	にんべん＋方	1-14-10	3									⿰亻方	仿	u2ff0-u4ebb-u65b9
p12-40	12	人	4	にんべん＋予	1-14-11	3									⿰亻予	伃	u2ff0-u4ebb-u4e88
p12-41	12	人	4	にんべん＋（岌−山）	1-14-12	3											
p12-42	12	人	4	にんべん＋今	2-1-29	4									⿰亻今	仱	u2ff0-u4ebb-u4eca
p13-0	13	人	4	にんべん＋午	2-1-30	4									⿰亻午	仵	u2ff0-u4ebb-u5348
p13-1	13	人	4	にんべん＋蚣のつくり	2-1-31	4									⿰亻公	伀	u2ff0-u4ebb-u516c
p13-2	13	人	4	にんべん＋友	2-1-32	4									⿰亻友	伖	u2ff0-u4ebb-u53cb
p13-3	13	人	4	にんべん＋少			4EEF								⿰亻少	仯	u2ff0-u4ebb-u5c11
p13-4	13	人	4	にんべん＋比			4EF3								⿰亻比	仳	u2ff0-u4ebb-u6bd4
p13-5	13	人	4	にんべん＋互			4EFE								⿰亻互	仾	u2ff0-u4ebb-u4e92
p13-6	13	人	4	にんべん＋市			4F02								⿰亻市		u2ff0-u4ebb-u5e02
p13-7	13	人	4	にんべん＋心			4F08								⿰亻心	伈	u2ff0-u4ebb-u5fc3
p13-8	13	人	4	にんべん＋厄			4F0C								⿰亻厄	伌	u2ff0-u4ebb-u5384
p13-9	13	人	4	にんべん＋斤			4F12								⿰亻斤	伒	u2ff0-u4ebb-u65a4
p13-10	13	人	4	にんべん＋夫			4F15								⿰亻夫	伕	u2ff0-u4ebb-u592b
p13-11	13	人	4	人がしら／从			4F17								⿱𠆢从		u2ff1-u201a2-u4ece
p13-12	13	人	4	にんべん＋火			4F19								⿰亻火	伙	u2ff0-u4ebb-u706b
p13-13	13	人	4	にんべん＋王			4EFC								⿰亻王	仼	u2ff0-u4ebb-u738b
p13-14	13	人	4	にんべん＋弖									2696	1	⿰亻弖	𫢏	u2ff0-u4ebb-u5f16
p13-15	13	人	5	にんべん＋（麈−鹿）				住	包摂適用	UCV201		4F4F E0101	13820				
p13-16	13	人	5	にんべん＋絆のつくり				伴	包摂適用	12		4F34 E0101	13984		⿰亻半	伴	u2ff0-u4ebb-u534a
p13-17	13	人	5	にんべん＋欠	1-14-13	3									⿰亻欠	㐸	u2ff0-u4ebb-u6b20
p13-18	13	人	5	にんべん＋布	1-14-14	3									⿰亻布	佈	u2ff0-u4ebb-u5e03
p13-19	13	人	5	にんべん＋去	1-14-15	3									⿰亻去	佉	u2ff0-u4ebb-u53bb
p13-20	13	人	5	にんべん＋必	1-14-16	3									⿰亻必	佖	u2ff0-u4ebb-u5fc5
p13-21	13	人	5	にんべん＋（鼕−鼓）	1-14-17	3											
p13-22	13	人	5	にんべん＋瓶のつくり	2-1-33	4									⿰亻瓦	佤	u2ff0-u4ebb-u74e6
p13-23	13	人	5	にんべん＋由	2-1-34	4									⿰亻由	伷	u2ff0-u4ebb-u7531
p13-24	13	人	5	にんべん＋丕	2-1-35	4									⿰亻丕	伾	u2ff0-u4ebb-u4e15
p13-25	13	人	5	にんべん＋占	2-1-36	4									⿰亻占	佔	u2ff0-u4ebb-u5360
p13-26	13	人	5	人がしら／示	2-1-37	4									⿱𠆢示		u2ff1-u201a2-u793a
p13-27	13	人	5	にんべん＋奴			4F2E								⿰亻奴	伮	u2ff0-u4ebb-u5974
p13-28	13	人	5	にんべん＋（人がしら／小）			4F31								⿰亻⿱𠆢小		u2ff0-u4ebb-u2ff1-u201a2-u5c0f
p13-29	13	人	5	にんべん＋世			4F33								⿰亻世	伳	u2ff0-u4ebb-u4e16
p13-30	13	人	5	にんべん＋駟のつくり			4F35								⿰亻四	伵	u2ff0-u4ebb-u56db
p13-31	13	人	5	にんべん＋且			4F39								⿰亻且	伹	u2ff0-u4ebb-u4e14
p13-32	13	人	5	にんべん＋怦のつくり			4F3B								⿰亻平	伻	u2ff0-u4ebb-u5e73
p13-33	13	人	5	にんべん＋（官−宀）			4F40										
p13-34	13	人	5	にんべん＋正			4F42								⿰亻正	佂	u2ff0-u4ebb-u6b63
p13-35	13	人	5	にんべん＋召			4F4B								⿰亻召	佋	u2ff0-u4ebb-u53ec
p13-36	13	人	5	にんべん＋此			4F4C								⿰亻此	佌	u2ff0-u4ebb-u6b64
p13-37	13	人	5	にんべん＋央			4F52								⿰亻央	佒	u2ff0-u4ebb-u592e
p13-38	13	人	5	にんべん＋用			4F63								⿰亻用	佣	u2ff0-u4ebb-u7528
p13-39	13	人	5	にんべん＋玄			4F2D								⿰亻玄	伭	u2ff0-u4ebb-u7384
p13-40	13	人	5	にんべん＋秬のつくり			4F62								⿰亻巨	佢	u2ff0-u4ebb-u5de8
p13-41	13	人	6					使	デザイン差	UCV235		4F7F E0101	13450				
p13-42	13	人	6	にんべん＋回	1-14-18	3									⿰亻回	佪	u2ff0-u4ebb-u56de
p13-43	13	人	6	にんべん＋老	1-14-19	3									⿰亻老	佬	u2ff0-u4ebb-u8001
p13-44	13	人	6	にんべん＋（八がしら／月）	1-14-20	3											
p13-45	13	人	6	にんべん＋光	1-14-21	3									⿰亻光	侊	u2ff0-u4ebb-u5149
p13-46	13	人	6	にんべん＋牟	1-14-22	3									⿰亻牟	侔	u2ff0-u4ebb-u725f
p13-47	13	人	6	にんべん＋同	1-14-23	3									⿰亻同	侗	u2ff0-u4ebb-u540c
p13-48	13	人	6	にんべん＋両	2-1-38	4									⿰亻両	𠈓	u2ff0-u4ebb-u4e21
p13-49	13	人	6	にんべん＋艮	2-1-39	4									⿰亻艮	佷	u2ff0-u4ebb-u826e
p13-50	13	人	6	にんべん＋舌	2-1-40	4									⿰亻舌	佸	u2ff0-u4ebb-u820c
p13-51	13	人	6	にんべん＋銓のつくり	2-1-41	4									⿰亻全	佺	u2ff0-u4ebb-u5168
p13-52	13	人	6	にんべん＋（咨−口）	2-1-42	4											
p13-53	13	人	6	にんべん＋（广＋托のつくり）	2-1-43	4									⿰亻⿰广乇		u2ff0-u4ebb-u2ff0-u5e7f-u4e47
p13-54	13	人	6	にんべん＋亥	2-1-44	4									⿰亻亥	侅	u2ff0-u4ebb-u4ea5
p14-0	14	人	6	にんべん＋安	2-1-45	4									⿰亻安	侒	u2ff0-u4ebb-u5b89
p14-1	14	人	6	にんべん＋旬	2-1-46	4									⿰亻旬	侚	u2ff0-u4ebb-u65ec
p14-2	14	人	6	にんべん＋合			4F6E								⿰亻合	佮	u2ff0-u4ebb-u5408
p14-3	14	人	6	合			4F71								合		
p14-4	14	人	6	にんべん＋危			4F79								⿰亻危	佹	u2ff0-u4ebb-u5371
p14-5	14	人	6	にんべん＋先			4F81								⿰亻先	侁	u2ff0-u4ebb-u5148
p14-6	14	人	6	にんべん＋至			4F84								⿰亻至	侄	u2ff0-u4ebb-u81f3
p14-7	14	人	6	にんべん＋夸			4F89								⿰亻夸	侉	u2ff0-u4ebb-u5938
p14-8	14	人	6	陰のつくり			4F8C								侌		
p14-9	14	人	6	にんべん＋米			4F8E								⿰亻米	侎	u2ff0-u4ebb-u7c73
p14-10	14	人	6	にんべん＋血			4F90								⿰亻血	侐	u2ff0-u4ebb-u8840
p14-11	14	人	6	にんべん＋聿			4F93								⿰亻聿	侓	u2ff0-u4ebb-u807f
p14-12	14	人	6	にんべん＋式			4F99								⿰亻式	侙	u2ff0-u4ebb-u5f0f
p14-13	14	人	6	にんべん＋如			4F9E								⿰亻如	侞	u2ff0-u4ebb-u5982
p14-14	14	人	6	にんべん＋存			4F9F								⿰亻存	侟	u2ff0-u4ebb-u5b58
p14-15	14	人	6	にんべん＋曳			20210								⿰亻曳	𠈐	u2ff0-u4ebb-u66f3
p14-16	14	人	7	にんべん＋駸のつくり				侵	包摂適用	54		4FB5 E0101	13851		⿰亻𠬶	侵	u2ff0-u4ebb-u20b36
p14-17	14	人	7	にんべん＋哽のつくり				便	デザイン差	UCV235		4FBF E0101	13506		⿰亻更	便	u2ff0-u4ebb-u66f4
p14-18	14	人	7	にんべん＋誨のつくり	1-14-24	3		侮	包摂適用	98					⿰亻每	侮	u2ff0-u4ebb-u6bcf
p14-19	14	人	7	にんべん＋夾	1-14-26	3		侠	78互換包摂						⿰亻夾	俠	u2ff0-u4ebb-u593e
p14-20	14	人	7	にんべん＋吾	1-14-25	3									⿰亻吾	俉	u2ff0-u4ebb-u543e
p14-21	14	人	7	にんべん＋寿	2-1-47	4									⿰亻寿	俦	u2ff0-u4ebb-u5bff
p14-22	14	人	7	にんべん＋辰	2-1-48	4									⿰亻辰	侲	u2ff0-u4ebb-u8fb0
p14-23	14	人	7	にんべん＋孝	2-1-49	4									⿰亻孝	侾	u2ff0-u4ebb-u5b5d
p14-24	14	人	7	にんべん＋求	2-1-50	4									⿰亻求	俅	u2ff0-u4ebb-u6c42
p14-25	14	人	7	にんべん＋邑	2-1-51	4									⿰亻邑	俋	u2ff0-u4ebb-u9091
p14-26	14	人	7	にんべん＋悄のつくり	2-1-52	4									⿰亻肖	俏	u2ff0-u4ebb-u8096
p14-27	14	人	7	にんべん＋完	2-1-53	4									⿰亻完	俒	u2ff0-u4ebb-u5b8c
p14-28	14	人	7	畝のへん＋人	2-81-28	4					1				⿰亩人	畒	u2ff0-u4ea9-u4eba
p14-29	14	人	7	にんべん＋局			4FB7								⿰亻局	侷	u2ff0-u4ebb-u5c40
p14-30	14	人	7	にんべん＋梃のつくり			4FB9								⿰亻廷	侹	u2ff0-u4ebb-u5ef7
p14-31	14	人	7	にんべん＋兌			4FBB								⿰亻兌		u2ff0-u4ebb-u514c
p14-32	14	人	7	にんべん＋孛			4FBC								⿰亻孛	侼	u2ff0-u4ebb-u5b5b
p14-33	14	人	7	にんべん＋男			4FBD								⿰亻男	侽	u2ff0-u4ebb-u7537
p14-34	14	人	7	にんべん＋綏のつくり			4FC0								⿰亻妥	俀	u2ff0-u4ebb-u59a5
p14-35	14	人	7	にんべん＋蜈のつくり			4FC1								⿰亻吴	俣	u2ff0-u4ebb-u5434
p14-36	14	人	7	にんべん＋余			4FC6								⿰亻余	俆	u2ff0-u4ebb-u4f59
p14-37	14	人	7	にんべん＋晧のつくり			4FC8								⿰亻告	俈	u2ff0-u4ebb-u544a
p14-38	14	人	7	にんべん＋甫			4FCC								⿰亻甫	俌	u2ff0-u4ebb-u752b
p14-39	14	人	7	にんべん＋良			4FCD								⿰亻良	俍	u2ff0-u4ebb-u826f
p14-40	14	人	7	にんべん＋娉のつくり			4FDC								⿰亻甹	俜	u2ff0-u4ebb-u7539
p14-41	14	人	7	にんべん＋（攵／彡）			4FE2								⿰亻⿱攵彡		u2ff0-u4ebb-u2ff1-u6535-u5f61
p14-42	14	人	8	にんべん＋卷				倦	包摂適用	67			1863	1	⿰亻卷	倦	u2ff0-u4ebb-u5377
p14-43	14	人	8	にんべん＋惧のつくり	1-14-1	3		倶	包摂適用	63					⿰亻具	俱	u2ff0-u4ebb-u5177
p14-44	14	人	8	にんべん＋餠のつくり	1-14-28	3		併	包摂適用	97					⿰亻幷	倂	u2ff0-u4ebb-u5e77
p14-45	14	人	8					併	包摂適用	97		5002 E0100	20299				
p14-46	14	人	8	にんべん＋知	1-14-27	3									⿰亻知	倁	u2ff0-u4ebb-u77e5
p14-47	14	人	8	にんべん＋典	1-14-29	3									⿰亻典	倎	u2ff0-u4ebb-u5178
p14-48	14	人	8	にんべん＋淌のつくり	1-14-30	3									⿰亻尚	倘	u2ff0-u4ebb-u5c1a
p14-49	14	人	8	にんべん＋宗	1-14-31	3									⿰亻宗	倧	u2ff0-u4ebb-u5b97
p14-50	14	人	8	にんべん＋果	1-14-32	3									⿰亻果	倮	u2ff0-u4ebb-u679c
p14-51	14	人	8	にんべん＋英	1-14-33	3									⿰亻英	偀	u2ff0-u4ebb-u82f1
p14-52	14	人	8	にんべん＋斉	2-1-54	4									⿰亻斉	㑪	u2ff0-u4ebb-u6589
p14-53	14	人	8	にんべん＋効	2-1-55	4									⿰亻効	俲	u2ff0-u4ebb-u52b9
p14-54	14	人	8	にんべん＋長	2-1-56	4									⿰亻長	倀	u2ff0-u4ebb-u9577
p14-55	14	人	8	倏	2-1-57	4									倏		
p15-0	15	人	8	にんべん＋炎	2-1-58	4									⿰亻炎	倓	u2ff0-u4ebb-u708e
p15-1	15	人	8	にんべん＋蜩のつくり	2-1-59	4									⿰亻周	倜	u2ff0-u4ebb-u5468
p15-2	15	人	8	にんべん＋京	2-1-60	4									⿰亻京	倞	u2ff0-u4ebb-u4eac
p15-3	15	人	8	にんべん＋捷のつくり	2-1-61	4									⿰亻疌	倢	u2ff0-u4ebb-u758c
p15-4	15	人	8	にんべん＋（口／矢）	2-1-62	4									⿰亻⿱口矢	㑨	u2ff0-u4ebb-u2ff1-u53e3-u77e2
p15-5	15	人	8	琴	2-80-72	4					1				琴		
p15-6	15	人	8	にんべん＋和			4FF0								⿰亻和	俰	u2ff0-u4ebb-u548c
p15-7	15	人	8	にんべん＋育			4FFC								⿰亻育	俼	u2ff0-u4ebb-u80b2
p15-8	15	人	8	にんべん＋欣			4FFD								⿰亻欣	俽	u2ff0-u4ebb-u6b23
p15-9	15	人	8	にんべん＋虎			4FFF								⿰亻虎	俿	u2ff0-u4ebb-u864e
p15-10	15	人	8	にんべん＋肴			5004								⿰亻肴	倄	u2ff0-u4ebb-u80b4
p15-11	15	人	8	にんべん＋宛			5007								⿰亻宛	倇	u2ff0-u4ebb-u5b9b
p15-12	15	人	8	にんべん＋（蚣のつくり／心）			500A								⿰亻⿱公心		u2ff0-u4ebb-u2ff1-u516c-u5fc3
p15-13	15	人	8	にんべん＋官			500C								⿰亻官	倌	u2ff0-u4ebb-u5b98
p15-14	15	人	8	にんべん＋（萠−くさかんむり）			5017										
p15-15	15	人	8	にんべん＋其			501B								⿰亻其	倛	u2ff0-u4ebb-u5176
p15-16	15	人	8	朝のへん＋人			501D								⿰𠦝人	倝	u2ff0-u2099d-u4eba
p15-17	15	人	8	にんべん＋陵のつくり			5030								⿰亻夌	倰	u2ff0-u4ebb-u590c
p15-18	15	人	8	にんべん＋東			5032								⿰亻東	倲	u2ff0-u4ebb-u6771
p15-19	15	人	8	にんべん＋事			5033								⿰亻事	倳	u2ff0-u4ebb-u4e8b
p15-20	15	人	8	にんべん＋武			5035								⿰亻武	倵	u2ff0-u4ebb-u6b66
p15-21	15	人	8	にんべん＋戔			4FF4								⿰亻戔	俴	u2ff0-u4ebb-u6214
p15-22	15	人	9	にんべん＋廴＋聿				健	デザイン差	UCV235		5065 E0101	13435		⿰⿰亻廴聿		u2ff0-u2ff0-u4ebb-u5ef4-u807f
p15-23	15	人	9	偏				偏	包摂適用	5		504F E0101	14014		偏		
p15-24	15	人	9	候				候	デザイン差				2675	1	候		
p15-25	15	人	9	にんべん＋耶	1-14-34	3									⿰亻耶	倻	u2ff0-u4ebb-u8036
p15-26	15	人	9	俘	1-14-35	3									俘		
p15-27	15	人	9	にんべん＋（剪−刀）	2-1-63	4											
p15-28	15	人	9	にんべん＋春	2-1-64	4									⿰亻春	偆	u2ff0-u4ebb-u6625
p15-29	15	人	9	にんべん＋畏	2-1-65	4									⿰亻畏	偎	u2ff0-u4ebb-u754f
p15-30	15	人	9	にんべん＋屋	2-1-66	4									⿰亻屋	偓	u2ff0-u4ebb-u5c4b
p15-31	15	人	9	にんべん＋省	2-1-67	4									⿰亻省	偗	u2ff0-u4ebb-u7701
p15-32	15	人	9	にんべん＋音	2-1-68	4									⿰亻音	偣	u2ff0-u4ebb-u97f3
p15-33	15	人	9	にんべん＋胥	2-1-69	4									⿰亻胥	偦	u2ff0-u4ebb-u80e5
p15-34	15	人	9	にんべん＋福のつくり	2-1-70	4									⿰亻畐	偪	u2ff0-u4ebb-u7550
p15-35	15	人	9	にんべん＋挈	2-1-71	4									⿰亻挈		u2ff0-u4ebb-u6308
p15-36	15	人	9	にんべん＋重			5045								⿰亻重	偅	u2ff0-u4ebb-u91cd
p15-37	15	人	9	にんべん＋禹			504A								⿰亻禹	偊	u2ff0-u4ebb-u79b9
p15-38	15	人	9	にんべん＋若			504C								⿰亻若	偌	u2ff0-u4ebb-u82e5
p15-39	15	人	9	にんべん＋風			5051								⿰亻風	偑	u2ff0-u4ebb-u98a8
p15-40	15	人	9	にんべん＋昜			5052								⿰亻昜	偒	u2ff0-u4ebb-u661c
p15-41	15	人	9	にんべん＋帝			5059								⿰亻帝	偙	u2ff0-u4ebb-u5e1d
p15-42	15	人	9	にんべん＋皇			505F								⿰亻皇	偟	u2ff0-u4ebb-u7687
p15-43	15	人	9	にんべん＋（襾／女）			5060								⿰亻⿱襾女		u2ff0-u4ebb-u2ff1-u897e-u5973
p15-44	15	人	9	にんべん＋秋			5062								⿰亻秋	偢	u2ff0-u4ebb-u79cb
p15-45	15	人	9	にんべん＋（大／多）			5067								⿰亻⿱大多		u2ff0-u4ebb-u2ff1-u5927-u591a
p15-46	15	人	9	にんべん＋面			506D								⿰亻面	偭	u2ff0-u4ebb-u9762
p15-47	15	人	9	にんべん＋盾			5071								⿰亻盾	偱	u2ff0-u4ebb-u76fe
p15-48	15	人	9	にんべん＋待			506B								⿰亻待	偫	u2ff0-u4ebb-u5f85
p15-49	15	人	10	にんべん＋幃のつくり				偉	包摂適用	120			1761	1	⿰亻韋	偉	u2ff0-u4ebb-u97cb
p15-50	15	人	10	にんべん＋慊のつくり	1-14-36	3									⿰亻兼	傔	u2ff0-u4ebb-u517c
p15-51	15	人	10	にんべん＋泰	2-1-72	4									⿰亻泰	傣	u2ff0-u4ebb-u6cf0
p15-52	15	人	10	にんべん＋栗	2-1-73	4									⿰亻栗	傈	u2ff0-u4ebb-u6817
p16-0	16	人	10	にんべん＋奚	2-1-74	4									⿰亻奚	傒	u2ff0-u4ebb-u595a
p16-1	16	人	10	にんべん＋（戸の旧字＋栩のつくり）	2-1-75	4											
p16-2	16	人	10	にんべん＋確のつくり	2-1-76	4									⿰亻隺	傕	u2ff0-u4ebb-u96ba
p16-3	16	人	10	にんべん＋倉	2-1-77	4									⿰亻倉	傖	u2ff0-u4ebb-u5009
p16-4	16	人	10	にんべん＋搖のつくり	2-1-78	4									⿰亻䍃	傜	u2ff0-u4ebb-u4343
p16-5	16	人	10	にんべん＋溲のつくり			5081								⿰亻叟	傁	u2ff0-u4ebb-u53df
p16-6	16	人	10	にんべん＋素			5083								⿰亻素	傃	u2ff0-u4ebb-u7d20
p16-7	16	人	10	僚			5084								僚		
p16-8	16	人	10	にんべん＋原			5086								⿰亻原	傆	u2ff0-u4ebb-u539f
p16-9	16	人	10	にんべん＋員			508A								⿰亻員	傊	u2ff0-u4ebb-u54e1
p16-10	16	人	10	にんべん＋眞			508E								⿰亻眞		u2ff0-u4ebb-u771e
p16-11	16	人	10	にんべん＋溏のつくり			508F								⿰亻唐	傏	u2ff0-u4ebb-u5510
p16-12	16	人	10	にんべん＋高			5090								⿰亻高	傐	u2ff0-u4ebb-u9ad8
